trial_index,drug_name,Drug_MW,Drug_LogP,Drug_TPSA,surf_1_conc,surf_2_conc,drug_conc,surf_1,surf_2,surf_conc,obj_surf_conc
0,IBP,0.2063,0.3073,0.0373,29,6,25.0,s7,s6,35,
1,LOV,0.4045,0.4196,0.0728,6,44,25.0,s4,s4,50,
2,DCF,0.2962,0.4364,0.0493,4,27,25.0,s2,s6,31,
3,GLV,0.3528,0.281,0.0711,91,1,25.0,s1,s2,92,
4,IBP,0.2063,0.3073,0.0373,32,14,25.0,s3,s4,46,
5,LOV,0.4045,0.4196,0.0728,18,76,25.0,s8,s1,94,
6,DCF,0.2962,0.4364,0.0493,59,3,25.0,s8,s2,62,
7,GLV,0.3528,0.281,0.0711,2,66,25.0,s3,s6,68,
8,IBP,0.2063,0.3073,0.0373,48,31,25.0,s4,s6,79,
9,LOV,0.4045,0.4196,0.0728,12,18,25.0,s4,s8,30,
10,DCF,0.2962,0.4364,0.0493,22,10,25.0,s6,s1,32,
11,GLV,0.3528,0.281,0.0711,55,24,25.0,s2,s4,79,
12,IBP,0.2063,0.3073,0.0373,12,61,25.0,s1,s8,73,
13,LOV,0.4045,0.4196,0.0728,38,48,25.0,s1,s1,86,
14,DCF,0.2962,0.4364,0.0493,1,75,25.0,s2,s7,76,
15,GLV,0.3528,0.281,0.0711,57,12,25.0,s1,s3,69,
16,IBP,0.2063,0.3073,0.0373,49,35,25.0,s8,s5,84,
17,LOV,0.4045,0.4196,0.0728,15,22,25.0,s2,s5,37,
18,DCF,0.2962,0.4364,0.0493,24,5,25.0,s2,s2,29,
19,GLV,0.3528,0.281,0.0711,10,54,25.0,s3,s7,64,
20,IBP,0.2063,0.3073,0.0373,54,17,25.0,s1,s5,71,
21,LOV,0.4045,0.4196,0.0728,40,43,25.0,s6,s4,83,
22,DCF,0.2962,0.4364,0.0493,30,2,25.0,s3,s8,32,
23,GLV,0.3528,0.281,0.0711,63,25,25.0,s1,s5,88,
24,IBP,0.2063,0.3073,0.0373,9,40,25.0,s7,s4,49,
25,LOV,0.4045,0.4196,0.0728,41,50,25.0,s6,s3,91,
26,DCF,0.2962,0.4364,0.0493,5,32,25.0,s6,s3,37,
27,GLV,0.3528,0.281,0.0711,89,8,25.0,s8,s1,97,
28,IBP,0.2063,0.3073,0.0373,34,20,25.0,s2,s7,54,
29,LOV,0.4045,0.4196,0.0728,16,83,25.0,s7,s2,99,
30,DCF,0.2962,0.4364,0.0493,72,15,25.0,s8,s2,87,
31,GLV,0.3528,0.281,0.0711,14,53,25.0,s6,s1,67,
